Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
TM9SF2	na	43.583734	67.021434	57.826127	49.973918	63.772819	58.786662	44.84925	55.862521	58.971505
TNFSF13B	na	5.00574	11.261559	9.928485	6.594019	12.17651	11.848402	4.92023	9.946783	10.893388
IPO4	na	26.462321	18.502131	17.151918	22.534625	17.591195	19.128221	24.320596	18.712758	16.726675
MTHFD1	na	62.88453	49.645437	49.54219	64.826202	46.779498	49.994201	61.763715	51.999546	50.135066
VTI1B	na	9.100843	11.448864	11.727477	9.40345	10.64722	11.635667	9.029107	11.548076	11.353712
EVL	na	11.470486	15.265267	17.209242	7.561595	15.48479	20.405365	10.354494	17.810568	20.193185
WARS	na	11.306918	15.540227	14.057614	8.758265	13.258214	15.449489	8.081109	13.169933	13.776138
NA	na	2.765908	8.400268	11.528319	5.809961	24.02966	22.997985	3.053242	10.270904	13.039801
THBS1	na	2.218185	5.034377	7.522312	1.133156	2.966293	6.269043	1.098409	3.524939	7.253097
SORD	na	11.136531	8.276574	8.345402	11.917951	8.714312	8.310982	11.103204	8.456389	8.458573
SORD	na	25.747662	19.680653	16.213941	29.125686	18.682385	18.247657	30.714706	20.698718	18.347714
RAB27A	na	39.336887	58.247678	52.206533	33.247004	43.604074	57.930553	30.03635	46.193289	58.056388
CGNL1	na	11.085096	6.380651	8.603123	9.926132	6.117439	8.408904	10.998271	6.339789	7.56407
LACTB	na	8.917797	16.22498	11.254788	8.384122	12.243632	11.733159	7.533041	12.410502	12.214198
HEXA	na	16.549538	20.3724	21.70947	14.436823	20.368644	22.432923	15.379817	18.841233	21.359621
HEXA	na	23.859862	35.460525	29.786671	22.570161	27.622942	31.115017	20.656127	29.895788	34.39711
SCAMP2	na	49.340756	60.777058	57.157014	46.516287	54.234195	61.408197	46.786625	58.569816	62.787699
PRC1	na	47.142907	59.171934	60.344004	50.276037	59.721445	62.928146	48.010983	61.021369	60.108448
METTL26	na	50.922164	38.985118	27.654534	50.736479	37.614107	28.700968	46.513182	38.825673	31.051431
METRN	na	8.653185	4.135292	6.396845	13.916823	4.471114	5.157731	9.776685	4.172936	4.56577
METRN	na	15.663557	6.061398	6.129054	17.125392	6.535453	9.671245	16.454669	7.281097	9.350766
METRN	na	8.838281	5.106689	4.661741	10.164492	3.21309	5.180761	9.928706	5.106819	5.799472
NDUFB10	na	22.711148	13.894843	17.103605	32.066126	12.841051	11.842772	43.193174	16.491214	13.087681
SLC9A3R2	na	13.543484	9.392764	7.189797	13.128728	8.982851	8.627135	14.275533	9.443403	8.258875
NTHL1	na	30.928658	24.380206	17.599032	30.782135	23.568899	20.335404	34.340078	26.837073	19.995325
MLST8	na	13.137003	9.43675	7.645999	11.051993	7.270357	7.875325	12.04008	9.041177	7.543749
PGP	na	46.948073	36.210861	33.582124	42.675402	33.656892	34.346651	41.898267	36.133378	34.997071
MEFV	na	4.519616	6.306867	8.524839	4.499143	6.940103	9.82545	4.141057	7.023382	8.566026
UBN1	na	14.823016	10.115572	11.676144	13.883597	10.189156	10.741507	13.570235	11.118895	11.172242
LITAF	na	12.097252	15.500521	14.234964	9.902965	14.066593	16.295536	8.708645	15.04463	18.163665
LITAF	na	8.719983	14.629401	11.230195	9.109848	11.324352	15.5705	8.090345	13.068841	12.123982
FOPNL	na	24.806361	33.478669	30.345451	28.352319	33.496152	33.53939	26.606806	33.053418	33.770857
XYLT1	na	3.49153	7.984881	5.430734	3.166771	8.313005	5.449538	3.279224	8.880484	5.330183
CLN3	na	7.145422	15.554767	12.096241	5.589133	13.148478	10.951932	7.707787	14.757203	10.609053
ITGAL	na	4.83483	7.892307	7.246782	4.466625	6.873998	7.35253	3.446498	8.141035	6.777815
MT1A	na	20.556383	3.147984	13.045074	23.167149	2.142464	13.60401	21.554386	3.46077	14.653176
KATNB1	na	17.436255	13.528989	12.304304	16.73028	13.248122	12.783958	17.663224	14.219172	13.090991
GOT2	na	52.886411	41.844859	41.344894	50.385114	37.467255	42.571953	52.065975	40.568681	42.709887
BCAR1	na	5.231355	13.806791	12.36154	3.167429	13.186315	12.150565	3.135283	13.587148	11.762657
CDYL2	na	5.488813	7.80301	7.716168	5.50213	7.338874	6.748736	5.137624	7.163757	6.715444
GCSH	na	38.806434	33.84263	29.506212	41.985126	33.404636	29.617281	39.768088	31.592635	32.796536
COTL1	na	149.248935	120.288387	94.234663	144.757726	115.32297	95.941964	148.216281	125.767039	106.95449
RPL13	na	101.698365	67.764078	68.128315	82.620425	68.874919	69.347225	102.795247	73.549693	75.970013
RPL13	na	9.029326	6.635691	5.245082	9.207659	6.977856	5.325064	8.51118	6.842632	5.473715
CPNE7	na	13.1777	4.577024	7.166168	11.828413	3.989578	6.907398	12.926766	5.694218	7.446767
CPNE7	na	10.354583	4.540408	6.218459	9.916727	3.697536	6.671872	12.584231	5.507738	6.032317
	na	5.516073	12.163431	15.790264	4.241408	8.674964	13.018601	5.034368	8.706429	15.536862
MYO1C	na	11.486598	15.990362	14.93655	11.395708	15.693498	16.084236	12.706833	16.719954	14.931893
ATP2A3	na	26.043601	38.342555	36.742757	25.491453	34.169529	36.782511	22.94386	37.095191	38.046495
RNF167	na	30.177792	24.759275	20.221852	30.628174	23.57999	19.727816	29.905551	24.809769	21.040763
ASGR2	na	8.942817	17.258159	11.866957	6.438181	15.110114	13.395188	7.020598	12.815005	13.79544
ACADVL	na	6.051122	10.829352	11.861793	5.284853	10.232323	10.248559	5.319684	9.895346	9.927812
